Sample ID,Site,Aggregate,ID,Addition,Replicate,Notes,Incubation,Extraction number,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN,MBC,MBN,BG,CBH,LAP,NAG,PHOS,FDA,POXC,CUE,CUEFilt,WHC,MWD,proportion_mass,Bulk_density,infiltration,Dry,fPOM_TC,fPOM_13C%,fPOM_TN,fPOM_15N%,oPOM_TC,oPOM_13C%,oPOM_TN,oPOM_15N%,MAOM_TC,MAOM_13C%,MAOM_TN,MAOM_15N%,fPOM_C Comment (13C analysis) ,fPOM (g),oPOM(g),MAOM,proportion fPOM by mass,proportion oPOM by mass,proportion MAOM by mass,TC,TN,C%,N%,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,Proportion <53,Proportion >53,Proportion >250,Proportion >2000
3,C,B,CB3,16O,1,,Done,5,103.9,455.72,,80.53,6.36,167.64,13.4,87.11,7.04,384.282977,29.82753452,15.6412949,36.79947813,147.162371,22.7827088,242.9719,0.057123752,1,0.477,,0.188029807,,,,54.42176591,1.086809611,4.172347707,0.367358014,6.476655992,1.087722127,0.667453228,0.36746385,7.235861801,1.085105469,1.080740016,0.368832405,,0.2,0.65,4.21,0.039525692,0.128458498,0.83201581,9.416517276,1.182974149,1.086545736,0.367884756,,,,,,,
4,C,B,CB4,16O,1,,Done,5,348.16,431.38,3.82,51.71,5.03,136.82,11.48,85.11,6.45,,,,,,21.2250368,326.4066,0.025216158,,0.729,,0.180176927,,,,29.92640598,1.087590198,2.748572056,0.367379911,8.764173656,1.087645168,0.896726468,0.367354364,11.15933132,1.085325362,1.597917238,0.369047721,,0.25,0.77,4,0.049800797,0.153386454,0.796812749,12.14315055,1.584256299,1.086853576,0.367927332,,,,,,,
5,C,B,CB5,16O,1,,Done,6,1412.81,396.61,-0.63,90.84,2.67,120.85,13.79,30.01,11.12,,,,,,15.8815476,218.5124,0.012393026,,0.651,,0.321291704,,,,25.86684911,1.087337333,2.728036237,0.367602532,10.33171586,1.087678151,1.05001095,0.367496696,10.16110583,1.085303372,1.461070547,0.36899298,,0.24,0.72,4.1,0.04743083,0.14229249,0.81027668,11.3301048,1.482459088,1.086772952,0.368030736,,,,,,,
6,C,B,CB6,16O,1,,Done,8,178.39,263.87,0.8,73.61,3.35,86.46,17.88,12.85,14.53,,,,,,17.9853161,267.7833,0.013991299,,0.712,,0.27805942,,,,23.36326124,1.085930061,3.049943085,0.367974782,7.357804022,1.087216397,0.783992978,0.367255826,8.851544654,1.085413318,1.269322038,0.369065968,,0.18,0.69,4.13,0.036,0.138,0.826,9.562483544,1.281102285,1.086186592,0.368098859,,,,,,,
7,C,B,CB7,16O,1,,Done,6,3.91,517.46,-0.43,84.23,2.64,164.04,18.15,79.81,15.51,467.3585605,29.5887532,6.219558793,43.21232731,116.1000031,25.3826903,285.636,0.052918976,,0.413,,0.219638547,,,,18.43500957,1.086051,2.404822267,0.367982081,6.785108209,1.087414292,0.735532463,0.367372612,8.928431673,1.085336356,1.264793291,0.36886525,,0.17,0.84,4.03,0.033730159,0.166666667,0.799603175,9.302695588,1.245862613,1.086267216,0.368073314,,,,,,,
8,C,B,CB8,16O,1,,Done,6,29.25,253.83,-0.18,60.21,9.12,102.62,8.75,42.41,-0.37,,,,,,23.4250731,278.1817,0.035490018,,0.632,,0.23158399,,,,41.49741577,1.087271368,3.489567381,0.367343415,7.226806159,1.086413815,0.75809317,0.3670624,7.598336576,1.085446302,1.075502652,0.368850652,,0.16,0.78,4.1,0.031746032,0.154761905,0.813492063,9.009074474,1.115092132,1.086377162,0.367752156,,,,,,,
9,C,B,CB9,16O,1,,Done,7,99.62,236.64,-0.81,96.54,3.51,149.14,16.84,52.6,13.33,241.0069663,18.96320865,8.43425623,32.67747483,98.18698547,21.2827373,304.4073,0.044110111,,0.598,,0.205016358,,,,53.61652331,1.08642481,4.464667585,0.367321518,10.02760962,1.086688674,1.066251768,0.367044152,9.278740044,1.085358345,1.311654352,0.368857951,,0.2,0.73,4.06,0.04008016,0.146292585,0.813627255,11.56867176,1.425439248,1.086157276,0.367741207,,,,,,,
1,C,Bulk,C1,16O,1,,Done,8,-1.58,147.7,-0.14,83.96,11.29,106.38,35.7,22.42,24.41,540.1891237,64.12188041,74.81776874,94.30294751,320.5042039,18.0041945,296.4475,1.328654678,1,0.395,1261.640935,,1.421,250,0.855,42.88893942,1.085556248,3.686949078,0.367339766,6.481321425,1.086567736,0.697493518,0.367033204,11.91415643,1.085116464,1.661797027,0.369040422,,0.13,1.34,3.66,0.025341131,0.261208577,0.713450292,11.69651996,1.497762923,1.085746816,0.367804464,0.855,250,1.421,0.448783435,0.161421431,0.230845279,0.158949854
2,C,Bulk,C2,16O,1,,Done,6,-8.86,146.28,-2.14,78.96,5.28,108.26,18.41,29.3,13.13,,,,,,16.0702856,299.0383,0.084436877,,0.452,973.5162986,,1.093,243,,39.53641175,1.085028506,4.601660887,0.367952885,3.120918691,1.084588718,0.432758685,0.367390859,13.79218841,1.085105469,1.927546705,0.36905137,,0.14,0.92,3.99,0.027722772,0.182178218,0.79009901,12.96005954,1.747605545,1.084907564,0.368131705,,243,1.093,0.433724971,0.200893596,0.260963098,0.104418335
3,C,Bulk,C3,16O,1,,Done,6,-17.95,134.01,,109.56,7,113.7,19.28,4.14,12.28,667.070247,72.77530556,84.91463362,107.0293912,363.8155829,27.4063619,254.2793,0.003655106,1,0.476,1657.891501,,,,,34.41186661,1.084291858,3.385736971,0.367949235,4.779300567,1.084258874,0.616020794,0.367452901,14.4814108,1.085116464,2.10873014,0.369022175,,0.14,1.14,3.78,0.027667984,0.225296443,0.747035573,13.24869501,1.829459838,1.084555732,0.368141437,,,,0.368871464,0.210615473,0.188029807,0.232483256
