Sample ID,Site,Aggregate,Addition,Replicate,Incubation,Location,Extracted (please put a date here),DNA loaction,DNA concentration,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN
3,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
3,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
3,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
3,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
3,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
3,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
3,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
4,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
4,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
