"ID","Site_logFC","Site_logCPM","Site_LR","Site_PValue","Site_FDR","A_logFC","A_logCPM","A_LR","A_PValue","A_FDR","B_logFC","B_logCPM","B_LR","B_PValue","B_FDR","C_logFC","C_logCPM","C_LR","C_PValue","C_FDR","D_logFC","D_logCPM","D_LR","D_PValue","D_FDR","KEGG","Path","Name"
"ethanolamine",0.259748037362761,10.9339209093938,2.86582480627454,0.0904793168250964,0.177765245997542,-0.110953143917741,10.9339209093938,0.191866774295868,0.661367437950909,0.912796381304148,0.140768929610315,10.9339209093938,0.342140492761622,0.558596287074858,0.850735734786986,0.056615557634099,10.9339209093938,0.0552339629404059,0.814193932523912,0.855159664977946,-0.211000831757869,10.9339209093938,0.692728312098403,0.405237928105142,0.588475947770076,"C00189","map00564; map01100; map04723","16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; interleukin receptor protein"
"dihydrocholesterol",0.831620378475316,7.03466942056522,26.5830586957968,2.52447742395842e-07,3.92957718453075e-06,-0.18599274954858,7.03466942056522,0.482978984892924,0.487076048472969,0.876485582466472,0.270192404150486,7.03466942056522,1.13072537120122,0.287620668794281,0.743338714007401,0.435757349013472,7.03466942056522,2.97648089711407,0.0844827764168389,0.145449728470228,0.44092643651594,7.03466942056522,2.75448790670912,0.0969818644755757,0.290184750504018,"C12978",NA,NA
"cholesterol",1.18038062516703,10.305345844311,30.3858366952539,3.54104188646251e-08,6.57059994488044e-07,-0.461952213911873,10.305345844311,1.77379956080673,0.182912551638608,0.636383252575989,-0.00850004530490158,10.305345844311,0.000668571366610138,0.97937159937639,0.993608935485695,-0.141778755652735,10.305345844311,0.183006869672866,0.668801817725822,0.744599357068082,-0.0378701275598697,10.305345844311,0.0118914589554606,0.913164445538682,0.950169281478647,"C00187","map00100; map00120; map00140; map00981; map00984; map01066; map01100; map01120; map04913; map04925; map04927; map04934; map04975; map04976; map04977; map04979; map05200; map05217; map05417","butanol dehydrogenase [EC:1.1.1.-]; F420-hydroxymycolic dehydrogenase [EC:1.1.98.-]; malonate-dehydrogenase (acetylating) / methylmalonate-dehydrogenase [EC:1.2.1.1.2.1.27]; phosphatidate cytidylyltransferase [EC:2.7.7.41]; streptomycin 3""-adenylyltransferase [EC:2.7.7.47]; acetyl esterase [EC:3.1.1.-]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; 3',5'-cyclic-phosphodiesterase [EC:3.1.4.17]; potassium subfamily member 2; potassium subfamily member 17; potassium voltage-channel KQT-subfamily 2; potassium subfamily member 1; transient potential channel V 6; transient potential channel M 1; transient potential channel M 2 [EC:3.6.1.13]; transient potential channel M 4; glutamate 4; P2X 3; interleukin 11"
"cerotinic acid",0.159033201110558,8.9767448311275,1.70106459048577,0.192148810733369,0.30560810849974,-0.238474217447256,8.9767448311275,1.38642076365367,0.2390104781053,0.68537712647491,-0.220470241466522,8.9767448311275,1.32400205314586,0.249875068356336,0.743338714007401,0.302933191921572,8.9767448311275,2.47896918243719,0.11537784866786,0.183505721214596,0.488844107427713,8.9767448311275,5.8414492406998,0.0156529287237031,0.189994355098992,"",NA,NA
"campesterol",0.783094123346292,9.44383985831074,17.7851158500379,2.47310374228322e-05,0.000217372802611209,0.146133413580762,9.44383985831074,0.230805829750487,0.630926960600669,0.900553866840271,0.661869629441299,9.44383985831074,5.13185684741235,0.0234905844390735,0.230760447136781,0.729534086873215,9.44383985831074,6.24001907185759,0.0124895130944534,0.0359611842547193,0.403273830398225,9.44383985831074,1.7429871800605,0.18676077597233,0.419894651688144,"C01789","map00100; map00905; map01060; map01062; map01070; map01100; map01110","butanol dehydrogenase [EC:1.1.1.-]; DEFINITION [3-methyl-2-dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]; cephalosporin-deacetylase [EC:3.1.1.41]; platelet-factor acetylhydrolase [EC:3.1.1.47]; S-hydrolase [EC:3.1.2.12]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; phosphatidylinositol-3,4,5-3-and dual-protein PTEN [EC:3.1.3.3.1.3.3.1.3.67]"
"beta-sitosterol",1.28041454680578,11.2321066017687,52.3553924684745,4.63125115098944e-13,3.86709471107618e-11,-0.417040615127666,11.2321066017687,2.12193798908699,0.145202707648852,0.573505657777557,0.138332156996421,11.2321066017687,0.259480865147907,0.610477031846275,0.869994686136,0.586670099025834,11.2321066017687,4.57643886703448,0.0324145128766103,0.0751836618110267,0.254968861748376,11.2321066017687,0.795085806266059,0.372566706096223,0.572419670280997,"C01753","map00100; map01060; map01062; map01100; map01110","butanol dehydrogenase [EC:1.1.1.-]; cephalosporin-deacetylase [EC:3.1.1.41]; platelet-factor acetylhydrolase [EC:3.1.1.47]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; phosphatidylinositol-3,4,5-3-and dual-protein PTEN [EC:3.1.3.3.1.3.3.1.3.67]"
"beta-mannosylglycerate",-0.256808063934447,14.6294865423671,4.16511815252278,0.0412645348860546,0.0883484272560399,-0.0946127995773926,14.6294865423671,0.206394346320735,0.649608277632068,0.911635145920633,-0.235418542313307,14.6294865423671,1.427545866684,0.232165372232265,0.743338714007401,-2.38522344247068,14.6294865423671,139.180337888192,4.02215253807289e-32,6.71699473858173e-30,-0.402051014388764,14.6294865423671,3.7195359128944,0.0537793166074635,0.22452864683616,"C11544","map00051; map01100; map02060","malate dehydrogenase (NADP+) [EC:1.1.1.82]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; NA"
"beta-gentiobiose",0.219394332344368,5.95275448747255,0.30126458633648,0.583090722750723,0.649176263449473,-0.32093035393521,5.95275448747255,0.263570680868064,0.607677593340586,0.896645504495431,0.90866800231104,5.95275448747255,2.32856949986293,0.127018555232921,0.641711226296858,0.0526758319265021,5.95275448747255,0.0078102503367603,0.929578137317783,0.935178005614878,-0.257023366574971,5.95275448747255,0.168855118262933,0.681131310977239,0.773058204582982,"C08240",NA,NA
"alanine",1.24232475049208,10.4146504779231,22.5466717951946,2.05099552891153e-06,2.28344168885484e-05,-0.387266475435552,10.4146504779231,0.902368991587423,0.342147290692601,0.794239047321621,0.0057559060543335,10.4146504779231,0.00021649674192048,0.988260487200861,0.993608935485695,-0.0719225242094859,10.4146504779231,0.0347711865992864,0.852075938483747,0.878374578560406,-0.994154750771592,10.4146504779231,5.87103836350796,0.0153919704577933,0.189994355098992,"C00041","map00250; map00270; map00430; map00450; map00473; map00710; map00970; map00998; map01060; map01100; map01110; map01120; map01200; map01230; map01502; map02010; map04122; map04974; map04978; map05230","NA; phenylalanine dehydrogenase [EC:1.4.1.20]; peroxidase [EC:1.11.1.7]; gentisate 1,2-dioxygenase [EC:1.13.11.4]; procollagen-lysine,2-5-1 [EC:1.14.11.4]; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]; poly(A) polymerase [EC:2.7.7.19]; CDP-diacylglycerol---O-phosphatidyltransferase [EC:2.7.8.8]; cephalosporin-deacetylase [EC:3.1.1.41]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; phosphatidylinositol-3,4,5-3-and dual-protein PTEN [EC:3.1.3.3.1.3.3.1.3.67]; 3',5'-cyclic-phosphodiesterase [EC:3.1.4.17]; pullulanase [EC:3.2.1.41]; mannosyl-alpha-1,2-mannosidase [EC:3.2.1.113]; aliphatic nitrilase [EC:3.5.5.7]; iron(III) system ATP-protein [EC:7.2.2.7]; ent-oxidase [EC:1.14.14.86]; transient potential channel V 5; transient potential channel M 3; defensin, alpha"
"adenosine",0.777106160150411,8.00904360701077,10.1000124135034,0.00148268325575077,0.00619020259275946,-0.440739016182765,8.00904360701077,1.25924418557078,0.26179420443637,0.714126835674366,0.332499984810371,8.00904360701077,0.796024860456214,0.372284534748684,0.789522352491544,-0.528708786771531,8.00904360701077,2.01613811475373,0.155634529526296,0.234152850728751,-0.394096211927749,8.00904360701077,1.01732677979402,0.313153944774294,0.539141327601103,"C00212","map00230; map01100; map02010; map04022; map04024; map04071; map04080; map04270; map04923; map04924; map05012; map05032; map05034","menaquinone-protoporphyrinogen oxidase [EC:1.3.5.3]; sedoheptulose-bisphosphatase [EC:3.1.3.37]; iron(III) system ATP-protein [EC:7.2.2.7]; alcohol dehydrogenase; ethanolamine protein EutJ; NA; molecular IbpA; P2Y 1; potassium subfamily member 15; potassium subfamily member 16; chloride 3/4/5; ATP-cassette C (CFTR/MRP) 8; solute family 6 (transporter, GABA) 1"
